ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3301306,330130,Casimiro de Abreu,2017,41999,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2018,43295,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2019,44184,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2020,45041,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2021,45864,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2022,46110,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301306,330130,Casimiro de Abreu,2024,48563,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301306,330130,Casimiro de Abreu,2025,48636,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2017,22461,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2018,23064,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2019,23228,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2020,23398,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2021,23561,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2022,21104,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3301405,330140,Conceição de Macabu,2024,21769,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301405,330140,Conceição de Macabu,2025,21770,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2017,21250,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2018,21806,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3301504,330150,Cordeiro,2019,21926,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
