macro_regiao,desfecho,exposicao,n_lags,auc_min,auc_max,auc_amplitude,rr_max_min,rr_max_max,rr_max_amplitude,p_curva_min,p_consistente_005,interpretacao
Serrana,internacoes_i60_i69,temp_med,3,3.13892474329059,10.552266288752536,7.413341545461947,1.4799992934291635,5.76012346899148,4.280124175562317,3.9878634654748055e-6,TRUE,Associacao estavel nos tras lags avaliados.
Centro-Sul,internacoes_i60_i64,ur_med,3,9.906689759096182,17.768477663796578,7.861787904700396,1.3554651033618368,1.6385086440254342,0.2830435406635974,0.019722340345243262,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Noroeste,internacoes_i60_i69,ur_med,3,10.763556944325217,18.777583685795523,8.014026741470307,1.5482461409378314,1.802174663633364,0.25392852269553257,0.005800016615804833,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Noroeste,obitos_i60_i64,temp_med,3,3.0347666621767173,11.355414665559143,8.320648003382427,1.508379945815537,2.702773593924097,1.1943936481085602,9.016745405359873e-4,TRUE,Associacao estavel nos tras lags avaliados.
Centro-Sul,obitos_i60_i69,ur_med,3,9.635681724344103,18.921011188047192,9.28532946370309,1.2442732713006077,1.7214074030044282,0.47713413170382046,0.0653444194463242,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baixada Litoranea,obitos_i60_i69,ur_med,3,2.8173064000723325,13.485279628843646,10.667973228771313,1.2384745418013914,1.913765292749615,0.6752907509482236,0.0015052118401677544,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baia da Ilha Grande,obitos_i60_i64,ur_med,3,8.219932243537349,19.383173699168264,11.163241455630915,1.4486935873978375,2.0373069059494773,0.5886133185516398,0.037580487280770014,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana I,internacoes_i60_i69,ur_med,3,3.80480504417354,16.273228819605592,12.468423775432052,1.355554576124224,1.658712131883343,0.30315755575911907,0.033964206900507984,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Serrana,internacoes_i60_i69,ur_med,3,7.5578789283823475,20.276542809673266,12.718663881290919,1.592216898061861,1.976844904937101,0.3846280068752401,3.255867360876023e-5,TRUE,Associacao estavel nos tras lags avaliados.
Medio Paraiba,internacoes_i60_i64,ur_med,3,7.508189043144606,20.675115448282533,13.166926405137927,1.4130153183590122,1.9301946508689323,0.5171793325099201,6.891371891713518e-5,TRUE,Associacao estavel nos tras lags avaliados.
Norte,obitos_i60_i64,ur_med,3,10.473793774792211,23.683657383874568,13.209863609082356,1.5777230029559555,2.20845874493463,0.6307357419786743,0.017603019954723093,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,internacoes_i60_i69,temp_med,3,6.884196199362868,21.84981529253211,14.965619093169241,1.9065300425824243,4.089922857132022,2.1833928145495975,4.027946519637792e-19,TRUE,Associacao estavel nos tras lags avaliados.
Baixada Litoranea,obitos_i60_i64,ur_med,3,4.135718245330876,20.48721906744001,16.35150082210913,1.2656105229271741,2.58977434072646,1.324163817799286,6.384962965920336e-4,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Serrana,obitos_i60_i64,ur_med,3,5.412243282850008,22.464942598295604,17.052699315445594,1.4774818307351276,2.539334322828705,1.0618524920935772,0.005500712267699385,TRUE,Associacao estavel nos tras lags avaliados.
Centro-Sul,obitos_i60_i64,ur_med,3,10.329763916209245,32.038134797403394,21.70837088119415,1.4158703697008501,2.5675590075821484,1.1516886378812983,0.02472664775267481,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,internacoes_i60_i69,ur_med,3,9.458903606797337,54.469822009901144,45.01091840310381,1.6126329027261048,3.5128906566964946,1.9002577539703898,4.3248792855128613e-7,TRUE,Associacao estavel nos tras lags avaliados.
