modelo_id,macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,df_exp,df_lag,lag_max,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prob_rr_menor_0_91,mu_grupo_bayes,tau_grupo_bayes,metodo_bayes,auc_excesso_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,alerta_convergencia_auc,avisos_modelo_auc,residuos_lag21_estatistica,residuos_diagnostico,ic95_dlnm,cri95_bayes,efeito_posterior_relevante,auc_alta,residuos_ok,categoria_bayes,ordem_curadoria
metropolitana_i_obitos_i60_i69_temp_med_2,Metropolitana I,obitos_i60_i69,temp_med,quasipoisson,1.045562573328566,FALSE,,4,3,14,P95,28.932047176108913,1.2189930005344227,1.1237652170388746,1.322290379539761,0.1980251085092471,0.04150089549408517,1.1937095866724403,1.1011298901316091,1.294073106255772,0.9765562714359345,2.895325009223789e-13,0.10514539305094998,0.09588816855712486,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,48.62749185051337,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.22 (1.12-1.32),1.19 (1.10-1.29),TRUE,,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
medio_paraiba_obitos_i60_i69_temp_med_2,Medio Paraiba,obitos_i60_i69,temp_med,quasipoisson,0.9853589614171916,FALSE,,4,3,14,P95,26.97412604166667,1.2442271387329662,1.063276702673303,1.4559720615220568,0.21851456505585745,0.08018473668859005,1.1786531601682795,1.0328716679621743,1.345010532349647,0.848386444857108,1.3276917955196202e-5,0.10514539305094998,0.09588816855712486,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,74.63119013398045,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.24 (1.06-1.46),1.18 (1.03-1.35),TRUE,,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
metropolitana_i_internacoes_i60_i69_ur_med_2,Metropolitana I,internacoes_i60_i69,ur_med,quasipoisson,18.712555358335255,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,4,3,14,P95,90.40948680555552,1.0836921571829616,0.91814961037385,1.2790820562039735,0.08037387484667588,0.08457747363282958,1.116353275648224,1.0043423931294708,1.240856349961785,0.6162505340746695,9.192749879397879e-4,0.1377220150681758,0.06273198791978335,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,11.780244469636358,residuos_sem_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.08 (0.92-1.28),1.12 (1.00-1.24),FALSE,,TRUE,exploratorio_por_magnitude,2
metropolitana_i_internacoes_i60_i69_temp_med_2,Metropolitana I,internacoes_i60_i69,temp_med,quasipoisson,18.725424728764455,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,4,3,14,P95,28.932047176108913,1.3254225752633773,1.0133951652546518,1.7335241604160978,0.2817313333195823,0.13695409313895643,1.1146296204369204,1.0232502627313318,1.2141694324505266,0.6067795042796469,5.6140848396709325e-5,0.100197473604753,0.024462871146738247,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,9.88567847138247,residuos_sem_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.33 (1.01-1.73),1.11 (1.02-1.21),FALSE,,TRUE,exploratorio_por_magnitude,2
baia_da_ilha_grande_obitos_i60_i69_ur_med,Baia da Ilha Grande,obitos_i60_i69,ur_med,quasipoisson,0.98298862661401,FALSE,,4,3,14,P05,64.0613088235294,1.1734073857686564,1.019881182379887,1.3500444137654146,0.1599118118213766,0.07154502852061215,1.1556024341481488,1.0172843684949355,1.3127273230245995,0.7684666509789533,2.97737374383162e-5,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",13.86095349378702,1.7765575776247988,72.4618340469099,FALSE,,48.994663496411974,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.17 (1.02-1.35),1.16 (1.02-1.31),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
metropolitana_ii_obitos_i60_i69_ur_med,Metropolitana II,obitos_i60_i69,ur_med,quasipoisson,1.0184562175303786,FALSE,,4,3,14,P05,60.44377083333334,1.2704984472178862,0.9312782474431576,1.7332803690140783,0.2394093015954271,0.15847560514835118,1.1800407300840614,0.9594742084551744,1.4513116792366396,0.7300526996958461,0.002907488042247323,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",9.588002585179314,1.3753004796421524,80.7351582278481,FALSE,,50.430455860374394,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.27 (0.93-1.73),1.18 (0.96-1.45),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
norte_obitos_i60_i69_ur_med,Norte,obitos_i60_i69,ur_med,quasipoisson,0.9837195384362896,FALSE,,4,3,14,P05,64.69610416666666,1.2687858602898845,0.8113417047190985,1.9841425011289056,0.23806042767642277,0.22812990815117512,1.1679729802202805,0.9265816350608238,1.472251155112842,0.6736370471429638,0.010172147633506034,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",14.308631285965031,1.7273404681227222,71.68910864978902,FALSE,,52.93918066789991,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.27 (0.81-1.98),1.17 (0.93-1.47),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
noroeste_internacoes_i60_i69_ur_med,Noroeste,internacoes_i60_i69,ur_med,quasipoisson,2.703260330366588,FALSE,,4,3,14,P05,57.1031875,1.0618024067054537,0.9384700773015762,1.201342885781959,0.05996784779271765,0.06299715493059825,1.1127937831880048,1.0150399933638126,1.219961786725417,0.6344925637906408,2.660464011367343e-4,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",18.777583685795523,1.802174663633364,94.79166666666669,FALSE,,44.48676771234464,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.06 (0.94-1.20),1.11 (1.02-1.22),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
centro_sul_obitos_i60_i69_ur_med,Centro-Sul,obitos_i60_i69,ur_med,quasipoisson,1.0108068226787503,FALSE,,4,3,14,P05,53.851671113306985,1.2109752800728195,0.6684233577164548,2.193910658594185,0.19142605154082667,0.30319923905945995,1.1544352799585722,0.9038753401877396,1.4744520138542707,0.6299286850294569,0.0197440476560658,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",9.635681724344105,1.2442732713006075,64.23930634078818,FALSE,,54.026134267116376,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.21 (0.67-2.19),1.15 (0.90-1.47),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
medio_paraiba_internacoes_i60_i69_ur_med,Medio Paraiba,internacoes_i60_i69,ur_med,negative_binomial,5.860530822479498,FALSE,,4,3,14,P05,55.58532569444444,1.071513224472994,1.0058668885621955,1.1414438662571809,0.06907187787399231,0.03225678276870346,1.0982865227790872,1.031799845835432,1.1690574397610132,0.49442803047870604,7.461615000304674e-9,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",16.78839856323454,1.6471735242567989,91.13470833333332,FALSE,,77.5618958126351,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.07 (1.01-1.14),1.10 (1.03-1.17),FALSE,TRUE,FALSE,exploratorio_por_magnitude,2
serrana_obitos_i60_i69_ur_med,Serrana,obitos_i60_i69,ur_med,quasipoisson,1.0208285935074046,FALSE,,4,3,14,P05,61.047836805555555,1.3275281474779768,0.8907012383834249,1.9785882250987388,0.283318677282409,0.2036082798597036,1.1836867322053741,0.9410469566837054,1.48888880628936,0.7161252066554077,0.005416958681184705,0.1398864163965814,0.11236509857063116,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",5.876860010002629,1.4013773356486166,59.16486111111111,FALSE,,47.92715785939998,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.33 (0.89-1.98),1.18 (0.94-1.49),FALSE,FALSE,FALSE,exploratorio_por_magnitude,2
medio_paraiba_internacoes_i60_i69_ur_med_2,Medio Paraiba,internacoes_i60_i69,ur_med,negative_binomial,5.860530822479498,FALSE,,4,3,14,P95,89.26368819444444,1.5795152371475196,1.0930396349491365,2.282504956462335,0.45711798803051573,0.1878378989940778,1.1878661609552998,0.9610219025906862,1.4682558353133184,0.7805762248895871,2.0616257602991408e-4,0.1377220150681758,0.06273198791978335,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,77.5618958126351,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.58 (1.09-2.28),1.19 (0.96-1.47),FALSE,,FALSE,exploratorio_por_magnitude,2
baia_da_ilha_grande_internacoes_i60_i69_ur_med_2,Baia da Ilha Grande,internacoes_i60_i69,ur_med,quasipoisson,1.0449689909260238,FALSE,,4,3,14,P95,92.4355294117647,1.555867893667291,1.0481808006505866,2.3094535799951617,0.4420335209097845,0.2015228000624095,1.1820270211955364,0.9607439708809924,1.4542770198757384,0.7684459330520027,3.9418604962664577e-4,0.1377220150681758,0.06273198791978335,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,66.52554385505458,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.56 (1.05-2.31),1.18 (0.96-1.45),FALSE,,FALSE,exploratorio_por_magnitude,2
norte_internacoes_i60_i69_ur_med_2,Norte,internacoes_i60_i69,ur_med,quasipoisson,2.186526024163732,FALSE,,4,3,14,P95,90.79597916666664,1.5562028201606743,1.0124258749039277,2.39204397823776,0.4422487644087116,0.21934048811741275,1.1780815246935041,0.958687056212887,1.4476841737143247,0.7582061657876432,6.547718917179086e-4,0.1377220150681758,0.06273198791978335,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,33.29752904207301,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.56 (1.01-2.39),1.18 (0.96-1.45),FALSE,,FALSE,exploratorio_por_magnitude,2
noroeste_internacoes_i60_i69_ur_med_2,Noroeste,internacoes_i60_i69,ur_med,quasipoisson,2.703260330366588,FALSE,,4,3,14,P95,92.8080625,1.7412518546356204,1.0159862167393072,2.9842511358103985,0.554604311228681,0.274874708216799,1.178891394144406,0.9475221262087887,1.4667572194314102,0.7506105420142428,0.001040329166241174,0.1377220150681758,0.06273198791978335,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",,,,,,44.48676771234464,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.74 (1.02-2.98),1.18 (0.95-1.47),FALSE,,FALSE,exploratorio_por_magnitude,2
