data,temp_med,ur_med,n_macros
2018-03-28,24.393364197530865,77.11728395061728,9
2018-03-29,24.41358024691358,76.56481481481481,9
2018-03-30,24.329783950617283,76.53935185185185,9
2018-03-31,24.35871913580247,76.5647554605888,9
2018-04-01,24.784413580246913,76.75837742504409,9
2018-04-02,25.165046296296296,77.8638888888889,9
2018-04-03,25.028271604938272,82.1287037037037,9
2018-04-04,23.44699074074074,84.73474596391263,9
2018-04-05,23.932716049382716,83.72376543209877,9
2018-04-06,23.81929012345679,85.71296296296296,9
2018-04-07,23.68727954144621,84.19080687830687,9
2018-04-08,23.743560606060605,81.75406846240179,9
2018-04-09,23.62523148148148,78.4675925925926,9
2018-04-10,23.519598765432097,76.36265432098766,9
2018-04-11,22.914241622574956,78.12433862433862,9
2018-04-12,23.224841617933723,80.11878654970761,9
2018-04-13,24.722762345679012,77.5570987654321,9
2018-04-14,23.72631172839506,83.11651234567901,9
2018-04-15,22.171682098765434,88.74922839506173,9
2018-04-16,21.188439345142243,85.95571658615137,9
2018-04-17,20.936827601410933,78.49823633156966,9
2018-04-18,20.505787037037038,77.81867283950618,9
2018-04-19,20.690509259259258,78.52314814814815,9
2018-04-20,21.237191358024692,78.99614197530865,9
2018-04-21,21.601543209876542,80.33564814814815,9
2018-04-22,21.651234567901234,78.54938271604938,9
2018-04-23,21.516666666666666,81.31944444444444,9
2018-04-24,22.676774691358023,81.03935185185185,9
2018-04-25,22.693055555555556,81.75,9
2018-04-26,22.769320316693506,82.40375067096082,9
2018-04-27,23.41087962962963,81.86805555555556,9
2018-04-28,22.98148148148148,80.23225308641975,9
2018-04-29,22.093672839506173,78.19367283950616,9
2018-04-30,21.36026234567901,77.85262345679013,9
2018-05-01,21.667206790123455,76.8641975308642,9
2018-05-02,22.159336419753085,81.0378086419753,9
2018-05-03,22.519135802469137,84.27006172839506,9
2018-05-04,22.868364197530866,80.83333333333333,9
2018-05-05,22.850617283950616,80.47916666666667,9
2018-05-06,22.08310185185185,81.90663580246914,9
2018-05-07,21.448070987654322,84.5054012345679,9
2018-05-08,20.531867283950618,88.76157407407408,9
2018-05-09,20.72716049382716,82.08796296296296,9
2018-05-10,20.431018518518517,77.46373456790123,9
2018-05-11,20.49945987654321,78.21296296296296,9
2018-05-12,22.302006172839505,75.60108024691358,9
2018-05-13,21.45601851851852,85.00077160493827,9
2018-05-14,21.312885802469136,83.43672839506173,9
2018-05-15,21.56304012345679,81.98379629629629,9
2018-05-16,22.712438271604938,78.28333333333333,9
2018-05-17,21.45,86.16126543209876,9
2018-05-18,21.94699074074074,83.64197530864197,9
2018-05-19,22.550231481481482,81.03626543209877,9
2018-05-20,20.30293209876543,74.33138754696725,9
2018-05-21,16.710802469135803,74.70524691358024,9
2018-05-22,16.993055555555557,79.66589506172839,9
2018-05-23,18.002006172839508,83.68518518518519,9
2018-05-24,19.396836419753086,80.63734567901234,9
2018-05-25,19.154475308641974,82.62268518518519,9
2018-05-26,19.887422839506172,80.60493827160494,9
2018-05-27,18.89645061728395,81.42948201825013,9
2018-05-28,18.636265432098764,82.13421387073348,9
2018-05-29,19.603086419753087,79.00761540526034,9
2018-05-30,18.239737654320987,83.57135668276973,9
2018-05-31,19.503703703703703,82.8449074074074,9
2018-06-01,20.798688271604938,75.9675925925926,9
2018-06-02,20.86658950617284,75.04938271604938,9
2018-06-03,19.79513888888889,82.95570987654321,9
2018-06-04,18.584413580246913,85.03858024691358,9
2018-06-05,18.34868827160494,85.08592995169082,9
2018-06-06,20.080941358024692,82.62731481481481,9
2018-06-07,20.637422839506172,87.15771604938271,9
2018-06-08,20.090740740740742,86.81867283950618,9
2018-06-09,19.47692901234568,82.16842031425365,9
2018-06-10,20.641049382716048,82.07716049382717,9
2018-06-11,20.651003086419752,84.68827160493827,9
2018-06-12,21.836805555555557,78.56944444444444,9
2018-06-13,21.90054012345679,79.68230181936322,9
2018-06-14,20.271373456790123,87.17271767381416,9
2018-06-15,18.71682098765432,87.2337962962963,9
2018-06-16,19.216512345679014,89.63425925925925,9
2018-06-17,19.687037037037037,86.27577160493827,9
2018-06-18,19.38959241103849,85.3197957121657,9
2018-06-19,19.265586419753088,80.49074074074075,9
2018-06-20,18.660416666666666,81.71005523066927,9
2018-06-21,18.85887345679012,81.02031893004116,9
2018-06-22,19.936882716049382,78.93741877842754,9
2018-06-23,20.08966049382716,81.04166666666667,9
2018-06-24,21.402083333333334,77.3557098765432,9
2018-06-25,19.96666666666667,80.61882716049382,9
2018-06-26,21.58539653784219,73.29857756307031,9
2018-06-27,19.80300925925926,81.00925925925925,9
2018-06-28,19.981944444444444,79.79706790123457,9
2018-06-29,19.79567901234568,76.92129629629629,9
2018-06-30,20.225231481481483,79.45910493827161,9
2018-07-01,19.77060185185185,81.80787037037037,9
2018-07-02,20.498996913580246,80.77391975308642,9
2018-07-03,21.263811728395062,76.1195987654321,9
2018-07-04,20.62847222222222,85.16975308641975,9
2018-07-05,20.891358024691357,81.69444444444444,9
2018-07-06,20.16604938271605,79.31558641975309,9
2018-07-07,19.542978395061727,77.70987654320987,9
2018-07-08,19.888503086419753,71.55246913580247,9
2018-07-09,19.790354938271605,75.35262345679013,9
2018-07-10,18.688425925925927,86.73989898989899,9
2018-07-11,16.006095679012347,80.95601851851852,9
2018-07-12,15.723611111111111,81.15824915824915,9
2018-07-13,17.45841049382716,80.82066993464052,9
2018-07-14,18.49599952516619,82.43198005698005,9
2018-07-15,19.786496913580248,79.01157407407408,9
2018-07-16,20.276543209876543,72.70061728395062,9
2018-07-17,19.23520622895623,77.26634399551067,9
2018-07-18,20.715432098765433,78.48456790123457,9
2018-07-19,20.50787037037037,76.72145061728395,9
2018-07-20,20.47368827160494,74.12345679012346,9
2018-07-21,20.913117283950616,73.3970588235294,9
2018-07-22,20.79189814814815,81.67206790123457,9
2018-07-23,20.325077160493827,81.3369708994709,9
2018-07-24,20.072762345679013,80.03935185185185,9
2018-07-25,20.04652777777778,80.66280864197532,9
2018-07-26,19.673765432098765,79.81018518518519,9
2018-07-27,19.50817901234568,77.70447530864197,9
2018-07-28,19.979629629629628,75.99691358024691,9
2018-07-29,20.876466049382717,72.28626543209877,9
2018-07-30,20.922299382716048,73.13503086419753,9
2018-07-31,19.484799382716048,86.2145061728395,9
2018-08-01,18.641743827160493,85.62037037037037,9
2018-08-02,18.049922839506173,90.80632716049382,9
2018-08-03,18.546836419753085,86.86882716049382,9
2018-08-04,20.105889917695475,86.7760984023239,9
2018-08-05,20.31141975308642,82.83256172839506,9
2018-08-06,18.93425925925926,87.45833333333333,9
2018-08-07,17.668364197530863,90.80401234567901,9
2018-08-08,19.38719135802469,85.3804012345679,9
2018-08-09,20.89266975308642,82.62885802469135,9
2018-08-10,20.886265432098767,77.54678993175371,9
2018-08-11,18.79783950617284,73.07771164021165,9
2018-08-12,17.94699074074074,73.04429012345679,9
2018-08-13,18.11543209876543,76.78780864197532,9
2018-08-14,18.36404320987654,76.09801720912832,9
2018-08-15,18.620293209876543,78.58891612200436,9
2018-08-16,19.005246913580248,83.78626543209877,9
2018-08-17,18.802854938271604,85.9330808080808,9
2018-08-18,18.67962962962963,82.79089875361805,9
2018-08-19,19.15871913580247,77.96277268029719,9
2018-08-20,19.893981481481482,75.5734126984127,9
2018-08-21,20.179475308641976,77.06127885131508,9
2018-08-22,20.491512345679013,79.14342774146695,9
2018-08-23,21.283459595959595,77.9040404040404,9
2018-08-24,22.081712962962964,75.28935185185185,9
2018-08-25,21.679861111111112,76.75694444444444,9
2018-08-26,18.932484567901234,85.89876543209877,9
2018-08-27,17.40162037037037,85.83910533910534,9
2018-08-28,18.973842592592593,78.97916666666667,9
2018-08-29,19.748765432098764,75.95370370370371,9
2018-08-30,21.106018518518518,74.84047906602254,9
2018-08-31,22.447376543209877,69.04596081588835,9
2018-09-01,22.3141975308642,69.29552469135803,9
2018-09-02,22.646064814814814,74.20910493827161,9
2018-09-03,22.901466049382716,73.37962433257056,9
2018-09-04,20.81574074074074,72.45030972114306,9
2018-09-05,18.89560185185185,68.36596768336965,9
2018-09-06,17.93912037037037,75.48254985754986,9
2018-09-07,19.16875,70.67993827160494,9
2018-09-08,18.73557098765432,69.88987462342726,9
2018-09-09,19.22422839506173,72.47387566137566,9
2018-09-10,20.000946231319038,74.80169720983031,9
2018-09-11,19.612147745571658,75.19422079083915,9
2018-09-12,19.431404320987653,75.72214100064977,9
2018-09-13,19.75486111111111,74.21020531400966,9
2018-09-14,20.712453703703705,74.25900185429171,9
2018-09-15,20.917504409171077,84.24775228126677,9
2018-09-16,20.593132716049382,80.9004562533548,9
2018-09-17,19.386194981213098,86.02361782071927,9
2018-09-18,22.19734299516908,83.25599290001463,9
2018-09-19,24.292515432098764,76.0036231884058,9
2018-09-20,23.09429347826087,81.64003623188405,9
2018-09-21,22.406416191832857,85.62746965192618,9
2018-09-22,22.622685185185187,78.7510322271689,9
2018-09-23,23.154166666666665,72.92175925925926,9
2018-09-24,23.473278985507246,77.00449543746646,9
2018-09-25,23.57608024691358,76.85504850088184,9
2018-09-26,24.306018518518517,72.96071829405163,9
2018-09-27,24.390478395061727,74.08875661375662,9
2018-09-28,22.586205045625334,86.41314412238326,9
2018-09-29,22.683641975308642,87.1369431025228,9
2018-09-30,23.725540123456792,79.66765785878106,9
2018-10-01,24.01087962962963,81.45809849704777,9
2018-10-02,25.524228395061726,72.72720258136924,9
2018-10-03,24.97361111111111,74.47327441077441,9
2018-10-04,24.10848765432099,81.52237654320987,9
2018-10-05,21.33070987654321,85.6520061728395,9
2018-10-06,19.155555555555555,80.02407407407408,9
2018-10-07,19.782253086419754,85.39441195581546,9
2018-10-08,22.522222222222222,82.62680680162563,9
2018-10-09,23.03726851851852,82.94033145464304,9
2018-10-10,24.739274691358023,76.52821869488535,9
2018-10-11,22.921296296296298,88.21682098765433,9
2018-10-12,23.202006172839507,86.2770061728395,9
2018-10-13,25.50208333333333,73.96004428341385,9
2018-10-14,23.087037037037035,81.065867003367,9
2018-10-15,21.20138888888889,85.58410493827161,9
2018-10-16,21.37667107583774,85.31324955908289,9
2018-10-17,23.081604938271607,83.16604938271605,9
2018-10-18,24.051404320987654,84.753202661536,9
2018-10-19,23.583117283950617,84.81827026301664,9
2018-10-20,21.331003086419752,70.86126543209876,9
2018-10-21,19.158117283950617,70.5242901234568,9
2018-10-22,20.82212962962963,70.92765068990559,9
2018-10-23,22.91212962962963,71.67030327428878,9
2018-10-24,22.673780864197532,81.44905202821869,9
2018-10-25,21.264845679012346,90.57561728395062,9
2018-10-26,21.874706790123458,87.9449074074074,9
2018-10-27,24.558487654320988,81.14299248523886,9
2018-10-28,22.39574074074074,72.56651234567902,9
2018-10-29,19.60421296296296,79.54336419753086,9
2018-10-30,21.378456790123458,77.74762345679012,9
2018-10-31,23.931825013419218,76.69419159815804,9
2018-11-01,24.80614197530864,78.71072597960278,9
2018-11-02,22.984413580246912,82.04371980676328,9
2018-11-03,25.39043209876543,75.07320384294069,9
2018-11-04,23.941404320987655,81.86070670472844,9
2018-11-05,20.583796296296295,86.31635802469135,9
2018-11-06,21.317314814814814,81.46114259465709,9
2018-11-07,23.061481481481483,83.74674584004295,9
2018-11-08,20.633626543209875,92.74259259259259,9
2018-11-09,20.270354938271606,90.16435185185185,9
2018-11-10,22.158194444444444,83.64107744107744,9
2018-11-11,23.86308641975309,77.32704996186118,9
2018-11-12,24.31773148148148,78.2067901234568,9
2018-11-13,25.180663580246915,75.36586438923395,9
2018-11-14,26.524907407407408,72.39252281266774,9
2018-11-15,26.003225308641976,77.29354343992026,9
2018-11-16,23.84466049382716,85.97376543209876,9
2018-11-17,23.029598765432098,79.22962962962963,9
2018-11-18,25.759706790123456,71.34074074074074,9
2018-11-19,23.101867283950618,84.91651234567901,9
2018-11-20,18.94621913580247,91.59462560386473,9
2018-11-21,19.95197933440687,89.68483628556092,9
2018-11-22,23.051621041331185,80.72737947103889,9
2018-11-23,25.029284084809447,70.82392646269457,9
2018-11-24,24.555663580246915,73.21033950617284,9
2018-11-25,24.767006172839505,74.2965384521544,9
2018-11-26,22.78983024691358,83.99751956380484,9
