desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
internacoes,Serrana,Masculino,65-79,I65-I69 outras/sequelas,3589
internacoes,Serrana,Masculino,65-79,I64 AVC nao especificado,3361
internacoes,Serrana,Feminino,65-79,I65-I69 outras/sequelas,2865
internacoes,Serrana,Masculino,50-64,I65-I69 outras/sequelas,2761
internacoes,Serrana,Feminino,65-79,I64 AVC nao especificado,2717
internacoes,Serrana,Masculino,50-64,I64 AVC nao especificado,2565
internacoes,Serrana,Feminino,50-64,I64 AVC nao especificado,1787
internacoes,Serrana,Feminino,80+,I65-I69 outras/sequelas,1782
internacoes,Serrana,Feminino,80+,I64 AVC nao especificado,1706
internacoes,Serrana,Masculino,80+,I64 AVC nao especificado,1295
internacoes,Serrana,Feminino,50-64,I65-I69 outras/sequelas,1246
internacoes,Serrana,Masculino,80+,I65-I69 outras/sequelas,1006
internacoes,Serrana,Feminino,0-49,I64 AVC nao especificado,822
internacoes,Serrana,Masculino,0-49,I64 AVC nao especificado,699
internacoes,Serrana,Feminino,0-49,I65-I69 outras/sequelas,614
internacoes,Serrana,Masculino,0-49,I65-I69 outras/sequelas,530
internacoes,Serrana,Masculino,50-64,I60-I62 hemorragicas,412
internacoes,Serrana,Feminino,50-64,I60-I62 hemorragicas,400
internacoes,Serrana,Masculino,0-49,I60-I62 hemorragicas,388
internacoes,Serrana,Masculino,65-79,I60-I62 hemorragicas,340
internacoes,Serrana,Feminino,0-49,I60-I62 hemorragicas,336
internacoes,Serrana,Feminino,65-79,I60-I62 hemorragicas,299
internacoes,Serrana,Feminino,80+,I60-I62 hemorragicas,168
internacoes,Serrana,Masculino,80+,I60-I62 hemorragicas,147
internacoes,Serrana,Masculino,65-79,I63 isquemico,135
internacoes,Serrana,Masculino,50-64,I63 isquemico,85
internacoes,Serrana,Feminino,65-79,I63 isquemico,84
internacoes,Serrana,Feminino,50-64,I63 isquemico,57
internacoes,Serrana,Feminino,0-49,I63 isquemico,40
internacoes,Serrana,Feminino,80+,I63 isquemico,40
internacoes,Serrana,Masculino,0-49,I63 isquemico,36
internacoes,Serrana,Masculino,80+,I63 isquemico,23
obitos,Baia da Ilha Grande,Masculino,65-79,I65-I69 outras/sequelas,187
obitos,Baia da Ilha Grande,Masculino,65-79,I64 AVC nao especificado,184
obitos,Baia da Ilha Grande,Feminino,65-79,I64 AVC nao especificado,134
obitos,Baia da Ilha Grande,Feminino,80+,I64 AVC nao especificado,120
obitos,Baia da Ilha Grande,Feminino,80+,I65-I69 outras/sequelas,119
obitos,Baia da Ilha Grande,Feminino,65-79,I65-I69 outras/sequelas,105
obitos,Baia da Ilha Grande,Masculino,80+,I65-I69 outras/sequelas,96
obitos,Baia da Ilha Grande,Masculino,80+,I64 AVC nao especificado,88
obitos,Baia da Ilha Grande,Masculino,50-64,I64 AVC nao especificado,85
obitos,Baia da Ilha Grande,Masculino,50-64,I60-I62 hemorragicas,81
obitos,Baia da Ilha Grande,Masculino,50-64,I65-I69 outras/sequelas,72
obitos,Baia da Ilha Grande,Feminino,65-79,I60-I62 hemorragicas,66
obitos,Baia da Ilha Grande,Feminino,50-64,I60-I62 hemorragicas,59
obitos,Baia da Ilha Grande,Feminino,50-64,I64 AVC nao especificado,53
obitos,Baia da Ilha Grande,Masculino,65-79,I60-I62 hemorragicas,53
obitos,Baia da Ilha Grande,Feminino,50-64,I65-I69 outras/sequelas,48
obitos,Baia da Ilha Grande,Feminino,80+,I60-I62 hemorragicas,41
obitos,Baia da Ilha Grande,Masculino,0-49,I60-I62 hemorragicas,39
