Macroregiao;Ano;PM25;N_Municipios;Fonte
Serrana;2016;13.7663;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2017;13.3763;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2018;12.7251;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2019;13.9026;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2020;14.1953;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2021;14.645;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2022;14.9012;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2023;13.3831;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2024;17.8171;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
Serrana;2025;16.7828;16;Monitorado, Vizinho mais proximo (Aperibé, 0.162 deg), Vizinho mais proximo (Carmo, 0.138 deg), Vizinho mais proximo (Guapimirim, 0.125 deg), Vizinho mais proximo (Guapimirim, 0.191 deg)
