Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Paraty;Baía da Ilha Grande;2019;4;10.833;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;5;10.6482;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;6;11.9356;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;7;12.9308;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;8;24.1626;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;9;40.1276;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;10;19.9435;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;11;12.6403;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2019;12;11.5253;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;1;10.1385;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;2;10.7931;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;3;11.1892;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;4;11.0611;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;5;10.8724;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;6;12.1869;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;7;13.2031;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;8;24.6714;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;9;40.9725;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;10;20.3634;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;11;12.9065;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2020;12;11.768;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;1;10.4597;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;2;11.1351;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;3;11.5436;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;4;11.4115;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;5;11.2168;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;6;12.573;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;7;13.6213;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;8;25.4529;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;9;42.2704;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;10;21.0085;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;11;13.3153;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2021;12;12.1407;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;1;10.6426;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;2;11.3298;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;3;11.7456;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;4;11.6112;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;5;11.413;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;6;12.7929;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;7;13.8596;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;8;25.8982;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;9;43.0099;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;10;21.376;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;11;13.5482;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2022;12;12.3531;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;1;9.5584;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;2;10.1756;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;3;10.549;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;4;10.4282;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;5;10.2503;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;6;11.4896;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;7;12.4476;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;8;23.2597;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;9;38.6281;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;10;19.1983;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;11;12.168;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2023;12;11.0946;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;1;12.7252;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;2;13.5469;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;3;14.044;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;4;13.8832;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;5;13.6463;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;6;15.2963;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;7;16.5717;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;8;30.966;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;9;51.4261;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;10;25.5589;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;11;16.1994;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2024;12;14.7704;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;1;11.9865;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;2;12.7605;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;3;13.2287;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2025;4;13.0773;Monitorado;Extrapolado (regressão linear) + sazonal (perfil nacional 2024)
