ano,macro_regiao,populacao,fonte_populacao,observacao_populacao
2022,Metropolitana I,9705577,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Metropolitana II,1908751,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Noroeste,336995,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Norte,907868,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2022,Serrana,910020,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
2023,Baia da Ilha Grande,262127.5,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Baixada Litoranea,875052,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Centro-Sul,328032,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Medio Paraiba,891780,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Metropolitana I,10084030.5,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Metropolitana II,1976073,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Noroeste,345201.5,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Norte,938755,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2023,Serrana,936375,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2024,Baia da Ilha Grande,270358,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Baixada Litoranea,903171,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Centro-Sul,336061,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Medio Paraiba,918430,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Metropolitana I,10462484,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Metropolitana II,2043395,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Noroeste,353408,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Norte,969642,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2024,Serrana,962730,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Baia da Ilha Grande,270470,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Baixada Litoranea,904392,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Centro-Sul,336114,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Medio Paraiba,918649,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Metropolitana I,10463654,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Metropolitana II,2043599,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Noroeste,353499,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Norte,970288,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2025,Serrana,962882,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
