macro_regiao,desfecho,exposicao,lag,estatistica,pvalor
Baixada Litoranea,internacoes_i60_i64,ur_med,30,82.73225671960941,7.937199962837482e-7
Baixada Litoranea,obitos_i60_i64,temp_med,1,0.09374689229165713,0.7594667291481356
Baixada Litoranea,obitos_i60_i64,temp_med,7,24.485890259572937,9.355595666465932e-4
Baixada Litoranea,obitos_i60_i64,temp_med,14,29.558591696663512,0.008773680922851912
Baixada Litoranea,obitos_i60_i64,temp_med,21,51.66305585848378,2.131637685329757e-4
Baixada Litoranea,obitos_i60_i64,temp_med,30,77.42403811813314,4.6038911656332004e-6
Baixada Litoranea,obitos_i60_i64,ur_med,1,0.03298695833487223,0.8558785021496906
Baixada Litoranea,obitos_i60_i64,ur_med,7,24.864769802260348,8.018385447154941e-4
Baixada Litoranea,obitos_i60_i64,ur_med,14,29.513190147741195,0.008899862067858977
Baixada Litoranea,obitos_i60_i64,ur_med,21,50.86625213682677,2.760547534577107e-4
Baixada Litoranea,obitos_i60_i64,ur_med,30,76.09488388318776,7.084752119745907e-6
Baixada Litoranea,internacoes_i60_i62,temp_med,1,10.183852705133008,0.0014167584572724046
Baixada Litoranea,internacoes_i60_i62,temp_med,7,21.784614613756982,0.0027668942085014026
Baixada Litoranea,internacoes_i60_i62,temp_med,14,37.7155844228767,5.743312408490464e-4
Baixada Litoranea,internacoes_i60_i62,temp_med,21,45.408161706714935,0.0015305248617845102
Baixada Litoranea,internacoes_i60_i62,temp_med,30,58.16923682882683,0.001525044754343896
Baixada Litoranea,internacoes_i60_i62,ur_med,1,10.45973766769022,0.0012200460294655713
Baixada Litoranea,internacoes_i60_i62,ur_med,7,22.395482325210143,0.0021706284968711076
Baixada Litoranea,internacoes_i60_i62,ur_med,14,40.14499721252619,2.4217134190640532e-4
Baixada Litoranea,internacoes_i60_i62,ur_med,21,47.36316510201667,8.389746768354689e-4
Baixada Litoranea,internacoes_i60_i62,ur_med,30,59.06198403189178,0.0011940946615970338
Baixada Litoranea,obitos_i60_i62,temp_med,1,0.049647160928248106,0.8236783811137779
Baixada Litoranea,obitos_i60_i62,temp_med,7,19.087998064273236,0.007916101089570526
Baixada Litoranea,obitos_i60_i62,temp_med,14,30.527915828615026,0.00645085147291069
Baixada Litoranea,obitos_i60_i62,temp_med,21,45.435970726108856,0.0015176484667104306
Baixada Litoranea,obitos_i60_i62,temp_med,30,63.5742715880085,3.328355589385934e-4
Baixada Litoranea,obitos_i63,temp_med,1,4411.100443831459,0
Baixada Litoranea,obitos_i63,temp_med,7,7640.082574440165,0
Baixada Litoranea,obitos_i63,temp_med,14,7640.113640203951,0
Baixada Litoranea,obitos_i63,temp_med,21,7640.14801496779,0
Baixada Litoranea,obitos_i63,temp_med,30,7640.192393194368,0
Centro-Sul,internacoes_i60_i69,temp_med,1,1.882714315667951,0.17002596850075324
Centro-Sul,internacoes_i60_i69,temp_med,7,17.58466821435372,0.01399124603586488
Centro-Sul,internacoes_i60_i69,temp_med,14,31.70036191120154,0.004417853053853227
Centro-Sul,internacoes_i60_i69,temp_med,21,52.515757377391004,1.61286836454555e-4
Centro-Sul,internacoes_i60_i69,temp_med,30,82.99323208604444,7.269643766960598e-7
Centro-Sul,internacoes_i60_i69,ur_med,1,1.9417849477703573,0.16347485826906194
Centro-Sul,internacoes_i60_i69,ur_med,7,16.09159268049333,0.02429260421498547
Centro-Sul,internacoes_i60_i69,ur_med,14,32.70321110635731,0.003178693391413967
Centro-Sul,internacoes_i60_i69,ur_med,21,52.82356807370331,1.4576101524199636e-4
