modelo_id,macro_regiao,desfecho,exposicao_principal,exposicao_complementar,familia_usada,link,df_exposicao,df_lag,lag_max,lag_knots,centro_predicao,cen_mmt,cen_percentil_mmt,newey_west_aplicado,controle_tempo,covariaveis,offset_populacional,grade_predicao,teste_global,dispersao_quasipoisson,alerta_convergencia,avisos_modelo
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,24.385588080168766,79.6,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0844,1.008472372506584,FALSE,
centro_sul_obitos_i60_i69_ur_med,Centro-Sul,obitos_i60_i69,ur_med,temp_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,99.57554347826085,99,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(temp_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2883,1.0109270713099683,FALSE,
centro_sul_internacoes_i60_i64_temp_med,Centro-Sul,internacoes_i60_i64,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,23.870972046413492,75.9,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.8286,1.0271999668841756,FALSE,
centro_sul_internacoes_i60_i64_ur_med,Centro-Sul,internacoes_i60_i64,ur_med,temp_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,99.57554347826085,99,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(temp_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1765,1.026389831024913,FALSE,
centro_sul_obitos_i60_i64_temp_med,Centro-Sul,obitos_i60_i64,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,24.12828006329113,77.6,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.4544,1.0026275475293902,FALSE,
centro_sul_obitos_i60_i64_ur_med,Centro-Sul,obitos_i60_i64,ur_med,temp_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,99.57554347826085,99,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(temp_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1266,1.0007058190449354,FALSE,
centro_sul_internacoes_i60_i62_temp_med,Centro-Sul,internacoes_i60_i62,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,24.385588080168766,79.6,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.09525,0.9797283083930564,FALSE,
centro_sul_internacoes_i60_i62_ur_med,Centro-Sul,internacoes_i60_i62,ur_med,temp_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,51.445151515151515,1,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(temp_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.8311,0.9882497803404924,FALSE,
centro_sul_obitos_i60_i62_temp_med,Centro-Sul,obitos_i60_i62,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,28.245208333333323,99,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1647,0.9278060823475628,TRUE,glm.fit: algoritmo não convergiu
centro_sul_obitos_i60_i62_ur_med,Centro-Sul,obitos_i60_i62,ur_med,temp_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,51.445151515151515,1,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(temp_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.7058,0.9305545546584543,TRUE,glm.fit: algoritmo não convergiu
centro_sul_internacoes_i63_temp_med,Centro-Sul,internacoes_i63,temp_med,ur_med,quasipoisson,log,4,3,14,"logknots(lag_max, df_lag)",MMT,15.894423523206747,28.2,TRUE,"ns(tempo, df = 7 * numero_de_anos)","dow + feriado + pandemia + ns(ur_med, df = 3)",offset(log(populacao_macrorregiao_ano)); populacao obtida no SIDRA/IBGE,"percentis 1 a 99 da exposicao principal, 80 pontos",Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2338,0.9326956845110299,FALSE,
